Email_Sent,Called,Name,Business_Type,Address,City,Country,Phone,Website,Email,Email_Status,Email_Source,Email_Confidence,Google_Rating,Review_Count,Source,Zone,Distance_To_Stadium,Email_Lucas,Email_Anthony,Email_Jacob,Email_Opened
FALSE,FALSE,Texas Live!,sports_bar,"1650 E Randol Mill Rd, Arlington, TX 76011, USA",Dallas-Arlington,USA,+1 817-852-6688,https://texas-live.com/,info@texas-live.com,accept_all,scraped_website,81,4.6,12301,seeded_real,texas_live_zone,0.6 miles,"Hi Texas Live! team,

There's a World Cup game 0.6 miles from Texas Live!, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for Texas Live! specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for Texas Live!

Worth taking a look? I can send over a quick Texas Live! snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Lucas","Hi Texas Live! team,

There's a World Cup game 0.6 miles from Texas Live!, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for Texas Live! specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for Texas Live!

Worth taking a look? I can send over a quick Texas Live! snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Anthony","Hi Texas Live! team,

There's a World Cup game 0.6 miles from Texas Live!, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for Texas Live! specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for Texas Live!

Worth taking a look? I can send over a quick Texas Live! snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Jacob",
FALSE,FALSE,The Tipsy Oak,sports_bar,"301 E Front St, Arlington, TX 76011, USA",Dallas-Arlington,USA,+1 817-962-0304,https://www.thetipsyoak.com/,info@thetipsyoak.com,accept_all,scraped_website,78,4.4,2640,seeded_real,texas_live_zone,0.5 miles,"Hi The Tipsy Oak team,

There's a World Cup game 0.5 miles from The Tipsy Oak, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for The Tipsy Oak specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for The Tipsy Oak

Worth taking a look? I can send over a quick The Tipsy Oak snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Lucas","Hi The Tipsy Oak team,

There's a World Cup game 0.5 miles from The Tipsy Oak, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for The Tipsy Oak specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for The Tipsy Oak

Worth taking a look? I can send over a quick The Tipsy Oak snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Anthony","Hi The Tipsy Oak team,

There's a World Cup game 0.5 miles from The Tipsy Oak, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for The Tipsy Oak specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for The Tipsy Oak

Worth taking a look? I can send over a quick The Tipsy Oak snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Jacob",
FALSE,FALSE,PBR Texas,sports_bar,"1650 E Randol Mill Rd #150, Arlington, TX 76011, USA",Dallas-Arlington,USA,+1 817-769-1749,http://texas-live.com/eat-and-drink/pbr-texas,events@texas-live.com,accept_all,hunter_search,79,4.3,372,seeded_real,texas_live_zone,0.6 miles,"Hi PBR Texas team,

There's a World Cup game 0.6 miles from PBR Texas, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for PBR Texas specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for PBR Texas

Worth taking a look? I can send over a quick PBR Texas snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Lucas","Hi PBR Texas team,

There's a World Cup game 0.6 miles from PBR Texas, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for PBR Texas specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for PBR Texas

Worth taking a look? I can send over a quick PBR Texas snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Anthony","Hi PBR Texas team,

There's a World Cup game 0.6 miles from PBR Texas, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for PBR Texas specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for PBR Texas

Worth taking a look? I can send over a quick PBR Texas snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Jacob",
FALSE,FALSE,Troy's,sports_bar,"1650 E Randol Mill Rd #100, Arlington, TX 76011, USA",Dallas-Arlington,USA,+1 817-769-1551,https://texas-live.com/eat-and-drink/troys,events@texas-live.com,accept_all,hunter_search,79,4.2,491,seeded_real,texas_live_zone,0.7 miles,"Hi Troy's team,

There's a World Cup game 0.7 miles from Troy's, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for Troy's specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for Troy's

Worth taking a look? I can send over a quick Troy's snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Lucas","Hi Troy's team,

There's a World Cup game 0.7 miles from Troy's, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for Troy's specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for Troy's

Worth taking a look? I can send over a quick Troy's snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Anthony","Hi Troy's team,

There's a World Cup game 0.7 miles from Troy's, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for Troy's specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for Troy's

Worth taking a look? I can send over a quick Troy's snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Jacob",
FALSE,FALSE,Miller Tavern & Beer Garden,sports_bar,"1650 E Randol Mill Rd #110, Arlington, TX 76011, USA",Dallas-Arlington,USA,+1 817-769-1552,https://texas-live.com/eat-and-drink/miller-tavern-and-beer-garden,events@texas-live.com,accept_all,hunter_search,79,4.2,159,seeded_real,texas_live_zone,0.7 miles,"Hi Miller Tavern & Beer Garden team,

There's a World Cup game 0.7 miles from Miller Tavern & Beer Garden, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for Miller Tavern & Beer Garden specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for Miller Tavern & Beer Garden

Worth taking a look? I can send over a quick Miller Tavern & Beer Garden snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Lucas","Hi Miller Tavern & Beer Garden team,

There's a World Cup game 0.7 miles from Miller Tavern & Beer Garden, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for Miller Tavern & Beer Garden specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for Miller Tavern & Beer Garden

Worth taking a look? I can send over a quick Miller Tavern & Beer Garden snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Anthony","Hi Miller Tavern & Beer Garden team,

There's a World Cup game 0.7 miles from Miller Tavern & Beer Garden, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for Miller Tavern & Beer Garden specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for Miller Tavern & Beer Garden

Worth taking a look? I can send over a quick Miller Tavern & Beer Garden snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Jacob",
FALSE,FALSE,Happiest Hour,sports_bar,"2616 Olive St, Dallas, TX 75201, USA",Dallas-Arlington,USA,+1 972-528-0067,https://www.happiesthourdallas.com/,hello@happiesthourdallas.com,valid,hunter_search,99,4.5,5103,seeded_real,downtown_zone,16 miles,"Hi Happiest Hour team,

There's a World Cup game 16 miles from Happiest Hour, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for Happiest Hour specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for Happiest Hour

Worth taking a look? I can send over a quick Happiest Hour snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Lucas","Hi Happiest Hour team,

There's a World Cup game 16 miles from Happiest Hour, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for Happiest Hour specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for Happiest Hour

Worth taking a look? I can send over a quick Happiest Hour snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Anthony","Hi Happiest Hour team,

There's a World Cup game 16 miles from Happiest Hour, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for Happiest Hour specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for Happiest Hour

Worth taking a look? I can send over a quick Happiest Hour snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Jacob",
FALSE,FALSE,The Statler Dallas,hotel,"1914 Commerce St, Dallas, TX 75201, USA",Dallas-Arlington,USA,+1 214-459-3930,https://www.hilton.com/en/hotels/dfwstqq-the-statler-dallas/?SEO_id=GMB-AMER-QQ-DFWSTQQ&y_source=1_ODMxODAxNi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,williams.sharona@hilton.com,valid,hunter_search,99,4.4,3013,seeded_real,downtown_zone,18 miles,"Hi The Statler Dallas team,

There's a World Cup game 18 miles from The Statler Dallas, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for The Statler Dallas specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for The Statler Dallas

Worth taking a look? I can send over a quick The Statler Dallas snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Lucas","Hi The Statler Dallas team,

There's a World Cup game 18 miles from The Statler Dallas, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for The Statler Dallas specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for The Statler Dallas

Worth taking a look? I can send over a quick The Statler Dallas snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Anthony","Hi The Statler Dallas team,

There's a World Cup game 18 miles from The Statler Dallas, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for The Statler Dallas specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for The Statler Dallas

Worth taking a look? I can send over a quick The Statler Dallas snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Jacob",
FALSE,FALSE,The Joule,hotel_bar,"1530 Main St STE 100, Dallas, TX 75201, USA",Dallas-Arlington,USA,+1 214-748-1300,https://www.thejouledallas.com/,info@thejouledallas.com,valid,scraped_website,100,4.5,1802,seeded_real,downtown_zone,17 miles,"Hi The Joule team,

There's a World Cup game 17 miles from The Joule, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for The Joule specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for The Joule

Worth taking a look? I can send over a quick The Joule snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Lucas","Hi The Joule team,

There's a World Cup game 17 miles from The Joule, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for The Joule specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for The Joule

Worth taking a look? I can send over a quick The Joule snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Anthony","Hi The Joule team,

There's a World Cup game 17 miles from The Joule, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for The Joule specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for The Joule

Worth taking a look? I can send over a quick The Joule snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Jacob",
FALSE,FALSE,The Rustic,sports_bar,"3656 Howell St, Dallas, TX 75204, USA",Dallas-Arlington,USA,+1 214-730-0596,https://therustic.com/,events@therustic.com,valid,hunter_search,95,4.5,6132,seeded_real,uptown_zone,17 miles,"Hi The Rustic team,

There's a World Cup game 17 miles from The Rustic, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for The Rustic specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for The Rustic

Worth taking a look? I can send over a quick The Rustic snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Lucas","Hi The Rustic team,

There's a World Cup game 17 miles from The Rustic, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for The Rustic specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for The Rustic

Worth taking a look? I can send over a quick The Rustic snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Anthony","Hi The Rustic team,

There's a World Cup game 17 miles from The Rustic, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for The Rustic specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for The Rustic

Worth taking a look? I can send over a quick The Rustic snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Jacob",
FALSE,FALSE,Katy Trail Ice House,sports_bar,"3127 Routh St, Dallas, TX 75201, USA",Dallas-Arlington,USA,+1 214-468-0600,http://katyicehouse.com/,r.menke@katyicehouse.com,valid,hunter_search,98,4.6,3796,seeded_real,uptown_zone,18 miles,"Hi Katy Trail Ice House team,

There's a World Cup game 18 miles from Katy Trail Ice House, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for Katy Trail Ice House specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for Katy Trail Ice House

Worth taking a look? I can send over a quick Katy Trail Ice House snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Lucas","Hi Katy Trail Ice House team,

There's a World Cup game 18 miles from Katy Trail Ice House, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for Katy Trail Ice House specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for Katy Trail Ice House

Worth taking a look? I can send over a quick Katy Trail Ice House snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Anthony","Hi Katy Trail Ice House team,

There's a World Cup game 18 miles from Katy Trail Ice House, in less than 50 days, and 2× AT&T Stadium (160K) worth of fans coming to Dallas.

We're CrowdReady - a group of data scientists building actionable reports for Dallas businesses. We pulled the numbers for Katy Trail Ice House specifically:

- who's coming (countries, ages, spending profile)
- when they'll be near you, hour by hour, on game day
- a Facebook/Instagram ad you can launch before kickoff— copy, audience, budget
- a day-of plan: when to staff up, what to stock, what to price up
- the single move with the highest projected revenue for Katy Trail Ice House

Worth taking a look? I can send over a quick Katy Trail Ice House snapshot today with the key numbers and the clearest opportunity we see.

If it's useful, 15 minutes on Zoom and I'll show you how to deploy it.

Cheers,
Jacob",
